planned_id,case_id,condition,order,packet_sha256,brief_sha256,canonical,execution,terminal_contract,scorable_output,needs_human_review,run_id,run_path,failure_reason,workflow_status,mvp30,valid_plan60,artifact_class
ai_education-A,ai_education,A,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,071187d16dc24f518e45c8e9387754fd,runs/ai_education-A/071187d16dc24f518e45c8e9387754fd,,completed,reached,reached,ValidPlan60
ai_education-D,ai_education,D,2,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,58241229974243f794c03d82da882a4c,runs/ai_education-D/58241229974243f794c03d82da882a4c,,completed,reached,reached,ValidPlan60
ai_education-B,ai_education,B,3,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,6a65df1904934a5384419eb9ed947da8,runs/ai_education-B/6a65df1904934a5384419eb9ed947da8,,completed,reached,reached,ValidPlan60
ai_education-C,ai_education,C,4,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,d0c8094737794dfa83c6e819ae4a456e,runs/ai_education-C/d0c8094737794dfa83c6e819ae4a456e,,completed,reached,reached,ValidPlan60
intelligent_ring-C,intelligent_ring,C,5,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,True,bbe50a8b651c41f581ae985b082b7a1a,runs/intelligent_ring-C/bbe50a8b651c41f581ae985b082b7a1a,,completed,reached,reached,ValidPlan60
intelligent_ring-B,intelligent_ring,B,6,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,True,a739ef19814e4cab8ad785df3902a792,runs/intelligent_ring-B/a739ef19814e4cab8ad785df3902a792,,completed,reached,reached,ValidPlan60
intelligent_ring-D,intelligent_ring,D,7,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,True,8fbb07ebab8540e4a381897e4184378b,runs/intelligent_ring-D/8fbb07ebab8540e4a381897e4184378b,,completed,reached,reached,ValidPlan60
intelligent_ring-A,intelligent_ring,A,8,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,False,fd8ee4ae9dc244628875a17b300a89d7,runs/intelligent_ring-A/fd8ee4ae9dc244628875a17b300a89d7,,completed,reached,reached,ValidPlan60
