planned_id,case_id,condition,order,packet_sha256,brief_sha256,canonical,execution,terminal_contract,scorable_output,needs_human_review,run_id,run_path,failure_reason,workflow_status,mvp30,valid_plan60,artifact_class
ai_education-A,ai_education,A,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,7d4a7dd0b7da4043bc2dfd959a767e6a,runs/ai_education-A/7d4a7dd0b7da4043bc2dfd959a767e6a,,completed,reached,reached,ValidPlan60
ai_education-D,ai_education,D,2,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,36b96cdf44ef42d88039837fa64ddbea,runs/ai_education-D/36b96cdf44ef42d88039837fa64ddbea,,completed,reached,reached,ValidPlan60
ai_education-B,ai_education,B,3,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,486721ad0c194b78ba612b621a471b08,runs/ai_education-B/486721ad0c194b78ba612b621a471b08,,completed,reached,reached,ValidPlan60
ai_education-C,ai_education,C,4,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,False,succeeded,passed,available,False,274a619d129544d2b720acfed07a8826,runs/ai_education-C/274a619d129544d2b720acfed07a8826,,completed,reached,reached,ValidPlan60
intelligent_ring-C,intelligent_ring,C,5,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,True,8c1016289d674a00944f9ba50e59755d,runs/intelligent_ring-C/8c1016289d674a00944f9ba50e59755d,,completed,reached,reached,ValidPlan60
intelligent_ring-B,intelligent_ring,B,6,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,True,f8a4eb3117b74d68a1c6cf3851479cf3,runs/intelligent_ring-B/f8a4eb3117b74d68a1c6cf3851479cf3,,completed,reached,reached,ValidPlan60
intelligent_ring-D,intelligent_ring,D,7,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,True,183d00be471049a5a75cace99744d0ae,runs/intelligent_ring-D/183d00be471049a5a75cace99744d0ae,,completed,reached,reached,ValidPlan60
intelligent_ring-A,intelligent_ring,A,8,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,False,succeeded,passed,available,False,17625e16d9f74d21b50fb88eb3ec2ff1,runs/intelligent_ring-A/17625e16d9f74d21b50fb88eb3ec2ff1,,completed,reached,reached,ValidPlan60
