planned_id,case_id,condition,order,packet_sha256,brief_sha256,canonical,execution,terminal_contract,scorable_output,needs_human_review,run_id,run_path,failure_reason,workflow_status,mvp30,valid_plan60,artifact_class
ai_education-A,ai_education,A,1,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,succeeded,passed,available,False,b624d4de85ca40679062e1dfe87a6195,runs/ai_education-A/b624d4de85ca40679062e1dfe87a6195,,completed,reached,reached,ValidPlan60
ai_education-D,ai_education,D,2,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,not_run_preflight_no_go,not_checked,not_available,False,,,non-formal D preflight no_go; formal Granite intentionally not run,not_run_preflight_no_go,not_reached,not_reached,not_run_preflight_no_go
ai_education-B,ai_education,B,3,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,succeeded,passed,available,False,eac92ec822624ba487358598af7d0a17,runs/ai_education-B/eac92ec822624ba487358598af7d0a17,,completed,reached,reached,ValidPlan60
ai_education-C,ai_education,C,4,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,failed,not_checked,not_available,True,d2b8c6845d6044b892d1212b3277168c,runs/ai_education-C/d2b8c6845d6044b892d1212b3277168c,StructuredOutputValidationError,failed,not_reached,not_reached,partial_or_failed
intelligent_ring-C,intelligent_ring,C,5,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,failed,not_checked,not_available,False,ce8fcaa94aac4160920e7af2632e3b8e,runs/intelligent_ring-C/ce8fcaa94aac4160920e7af2632e3b8e,StructuredOutputValidationError,failed,not_reached,not_reached,partial_or_failed
intelligent_ring-B,intelligent_ring,B,6,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,succeeded,passed,available,False,9d991379a99747d186d6b19dbe9b5606,runs/intelligent_ring-B/9d991379a99747d186d6b19dbe9b5606,,completed,reached,reached,ValidPlan60
intelligent_ring-D,intelligent_ring,D,7,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,not_run_preflight_no_go,not_checked,not_available,False,,,non-formal D preflight no_go; formal Granite intentionally not run,not_run_preflight_no_go,not_reached,not_reached,not_run_preflight_no_go
intelligent_ring-A,intelligent_ring,A,8,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,failed,not_checked,not_available,False,d9b8722dc2e547a6b1dbe9c121cafec7,runs/intelligent_ring-A/d9b8722dc2e547a6b1dbe9c121cafec7,CitationPollutionError,failed,not_reached,not_reached,partial_or_failed
