planned_id,case_id,condition,model,workflow,brief_sha256,packet_sha256,execution_status,terminal_contract_status,scorable_output_status,needs_human_review,run_id,not_run_reason
S0-ai_education-A,ai_education,A,gemini-2.5-flash,single,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-ai_education-B,ai_education,B,gemini-2.5-flash,multi_final,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-ai_education-C,ai_education,C,gemini-2.5-flash,multi_role_final,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-ai_education-D,ai_education,D,granite-4.0-h-micro-Q4_K_M,multi_role_final,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-intelligent_ring-A,intelligent_ring,A,gemini-2.5-flash,single,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-intelligent_ring-B,intelligent_ring,B,gemini-2.5-flash,multi_final,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-intelligent_ring-C,intelligent_ring,C,gemini-2.5-flash,multi_role_final,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
S0-intelligent_ring-D,intelligent_ring,D,granite-4.0-h-micro-Q4_K_M,multi_role_final,16eed95643e13d2ce677fd3211c444278b5fe555ebe7a1421b3f466122c8b817,c523326ed764670291a02307e328449ea5e5f31b03d376e97cedbecb79da54ab,not_run,not_checked,not_available,unknown,,pending_case_review_and_runtime_freeze
