anonymous_id,source_index,hidden_repeat,run_id,planned_id,case_id,condition,execution,source_event_sha256,anonymous_sha256,canonical_anonymous_id
P001,2,False,eac92ec822624ba487358598af7d0a17,ai_education-B,ai_education,B,succeeded,f484a7a2b92d08a5732b54432d4ae2d2c9dadc9f4e0d11e1cfd240a21910a79f,ffafc5350833274ad13fb70429480a87816a4da4d1c7762bfc9faa73fdb32f73,P001
P002,1,False,9d991379a99747d186d6b19dbe9b5606,intelligent_ring-B,intelligent_ring,B,succeeded,df749b889fc7bed546e4adfbfd486f83f7701bc4ed01eed97f4b144519a27ca7,a6601367d7b7fb2c0b7737df9c48272c15e4e26de4b452f5fffca0e7568df31d,P002
P003,1,True,9d991379a99747d186d6b19dbe9b5606,intelligent_ring-B,intelligent_ring,B,succeeded,df749b889fc7bed546e4adfbfd486f83f7701bc4ed01eed97f4b144519a27ca7,a6601367d7b7fb2c0b7737df9c48272c15e4e26de4b452f5fffca0e7568df31d,P002
P004,0,False,b624d4de85ca40679062e1dfe87a6195,ai_education-A,ai_education,A,succeeded,d415aa2aad1eb7c7927232751f02f2016b2539aa0128b72b459fee9c4d1e6da1,99c6fcc9f0fc1727d51513086b7fa7ebd74c4313ae86064b401c0416a7849824,P004
